name,group,first_side,tags,unit,main_loops,candidate_loops,loop_matched,main_mean_seconds,candidate_mean_seconds,candidate_over_main,time_change_percent,speedup,pyperf_significant,pyperf_t_score,main_stdev_percent,candidate_stdev_percent
2to3,A,main,apps,second,1,1,True,0.18651914143313963,0.18814790236453216,1.0087324063304053,0.8732406330405285,0.9913431884654402,True,-6.901190182089365,0.9157770936459004,0.34628323013124995
ascii85_large,B,candidate,serialize,second,16,16,True,0.008047675929265096,0.008043892502125042,0.9995298733232664,-0.04701266767336287,1.0004703477997816,False,0.878084081089079,0.2435263435695187,0.3358469615677178
ascii85_small,B,candidate,serialize,second,256,256,True,0.000419719463934598,0.00042209596588994224,1.0056621199623816,0.566211996238164,0.9943697591368029,True,-11.1803504238045,0.23187750863500084,0.3146337753544626
async_generators,B,candidate,asyncio,second,1,1,True,0.2548921991760532,0.264670320522661,1.0383617912914394,3.836179129143935,0.9630554671664798,True,-9.69253109882328,2.197919570268621,2.058326220415971
async_tree_cpu_io_mixed,B,candidate,asyncio,second,1,1,True,0.43397975484840573,0.41517403670586644,0.9566668308084825,-4.333316919151753,1.0452959878988346,True,6.268906388201481,3.8942497517126258,3.841168718181895
async_tree_cpu_io_mixed_tg,A,main,asyncio,second,1,1,True,0.43523581600748,0.41901404918171464,0.9627287869491729,-3.7271213050827146,1.03871413585641,True,5.289122776874272,3.8430944032019,4.026243581218318
async_tree_eager,B,candidate,asyncio,second,2,2,True,0.10807717667582134,0.10671641652782758,0.987409366252457,-1.259063374754299,1.0127511791743768,False,1.0293333435505063,6.624082191615012,6.860758084428959
async_tree_eager_cpu_io_mixed,A,main,asyncio,second,1,1,True,0.36018102592788637,0.3396354595044007,0.9429576658832685,-5.704233411673155,1.0604929957945672,True,7.6293115482800635,4.137517824625959,4.297532987851204
async_tree_eager_cpu_io_mixed_tg,B,candidate,asyncio,second,1,1,True,0.40252268142066894,0.3831197140427927,0.9517965861963477,-4.8203413803652335,1.0506446592714596,True,7.318370794630677,3.6460581158386813,3.7495638968556255
async_tree_eager_io,A,main,asyncio,second,1,1,True,0.5489906708244234,0.5454875852757444,0.9936190435742406,-0.6380956425759421,1.0064219345100371,False,0.5643977790924611,6.227791099947544,6.1964049216264
async_tree_eager_io_tg,B,candidate,asyncio,second,1,1,True,0.5210330459910134,0.5204225885837028,0.998828371037101,-0.11716289628990184,1.0011730032875243,False,0.09680777158644661,6.522360647957658,6.741623629426464
async_tree_eager_memoization,A,main,asyncio,second,1,1,True,0.19612973492282132,0.19277119813486934,0.9828759428585697,-1.7124057141430282,1.0174223993026292,False,1.7368714476404241,5.49621686657271,5.394562575856707
async_tree_eager_memoization_tg,B,candidate,asyncio,second,1,1,True,0.2328483535752942,0.23103454404820997,0.9922103399090699,-0.7789660090930073,1.007850815273346,False,0.6362211209743674,6.852046768705635,6.608415223218917
async_tree_eager_tg,A,main,asyncio,second,1,1,True,0.17684310696398217,0.17756671680447955,1.0040918181823437,0.40918181823437205,0.9959248565636647,False,-0.31845894263854974,6.9813393555020635,7.064473404742105
async_tree_io,B,candidate,asyncio,second,1,1,True,0.5486919759307056,0.5392355729515353,0.9827655526342807,-1.723444736571933,1.0175366823954328,True,2.260125320640135,4.179502602473166,4.246938764846764
async_tree_io_tg,A,main,asyncio,second,1,1,True,0.5250402240393063,0.5126961247064173,0.9764892311718105,-2.3510768828189477,1.024076833699411,True,2.792533167349438,5.1975578331776,4.033704936554439
async_tree_memoization,B,candidate,asyncio,second,1,1,True,0.2762097102124244,0.27319848608846464,0.9890980511813147,-1.0901948818685336,1.0110221113120834,False,0.7857029658346777,7.514836124593641,7.768663763589504
async_tree_memoization_tg,A,main,asyncio,second,1,1,True,0.2603687092817078,0.26150475347725055,1.0043632132243419,0.43632132243418553,0.9956557417009186,False,-0.38210709832914214,6.084462103477478,6.3918484270669556
async_tree_none,A,main,asyncio,second,1,1,True,0.2249618402061363,0.2202493828876565,0.9790521925222442,-2.094780747775582,1.021396006911327,False,1.7154293258741173,6.9086811448436745,6.598978418221601
async_tree_none_tg,B,candidate,asyncio,second,1,1,True,0.20794684407301248,0.203999530011788,0.9810176774799307,-1.8982322520069261,1.019349623310389,False,1.617837254363576,6.666165140023134,6.297096723024722
asyncio_tcp,A,main,asyncio,second,1,1,True,0.2770791829874118,0.2762925256819775,0.997160893514436,-0.2839106485563958,1.002847189961048,False,1.7351197851148008,1.0243923930135506,0.7484677983593127
asyncio_tcp_ssl,B,candidate,asyncio,second,1,1,True,1.1072289164798954,1.1145452022552491,1.006607744492994,0.660774449299395,0.9934356311789334,True,-5.63854707796327,0.763221451094549,0.4881860519011771
base16_large,B,candidate,serialize,second,32,32,True,0.0038666603514381373,0.004346190835834326,1.124016707135354,12.401670713535395,0.8896664913002758,True,-44.90219200635543,1.8617426092644502,0.9376884574201039
base16_small,B,candidate,serialize,second,512,512,True,0.00023612641334693762,0.00025218608252544075,1.06801301451569,6.8013014515690084,0.9363181781576587,True,-21.795531628719402,1.1111342468494694,2.0099030552070594
base32_large,B,candidate,serialize,second,64,64,True,0.0019078310385035973,0.0019080181996590302,1.0000981015360668,0.009810153606681915,0.9999019080869005,False,-0.0750729696791526,0.7183636403465301,0.713028653351336
base32_small,B,candidate,serialize,second,1024,1024,True,0.00017380925287397987,0.000183175579119658,1.0538885363742354,5.388853637423541,0.9488669489093867,True,-62.16260069941406,0.2716188774714314,0.5827069370221707
base64_large,B,candidate,serialize,second,128,128,True,0.0014820271292895388,0.0014818506879237248,0.9998809459271514,-0.011905407284862335,1.0001190682484085,False,0.46778257489766645,0.10971656233507554,0.16380793459453116
base64_small,B,candidate,serialize,second,1024,1024,True,0.00018893799518385397,0.0001934905057017507,1.0240952621174302,2.4095262117430183,0.9764716594161265,True,-41.27876185149095,0.30693254983994417,0.3241977487656372
base85_large,B,candidate,serialize,second,32,32,True,0.004027531266425892,0.004029495832704318,1.000487784240138,0.04877842401380672,0.9995124535773232,False,-1.7954172201413985,0.06855987135892974,0.19886660577483967
base85_small,B,candidate,serialize,second,1024,1024,True,0.00016755149667915247,0.00017508103748392994,1.0449386663444489,4.493866634444887,0.9569939674051304,True,-57.62087981271307,0.36731326768601463,0.4589877941312449
bench_mp_pool,A,main,,second,16,16,True,0.0103660423066079,0.01044209263054654,1.0073364859692076,0.7336485969207551,0.9927169460538812,False,-1.5957564144859098,2.606682044095036,2.408724547093961
