PHASE imports
COMPILE calls=0 ok=0 ns=0
PROFILE method=0 op=_PUSH_TAGGED_ZERO count=17950
PROFILE method=0 op=_PY_FRAME_GENERAL count=239505
PROFILE method=0 op=_PY_FRAME_KW count=130484
PROFILE method=0 op=_RETURN_VALUE count=1009507
PROFILE method=0 op=_RROT_3 count=27771
PROFILE method=0 op=_SAVE_RETURN_OFFSET count=1103959
PROFILE method=0 op=_SPILL_OR_RELOAD count=4580682
PROFILE method=0 op=_START_EXECUTOR count=1964287
PROFILE method=0 op=_STORE_ATTR_INSTANCE_VALUE count=630869
PROFILE method=0 op=_STORE_SUBSCR_LIST_INT count=128826
PROFILE method=0 op=_SWAP_2 count=1586824
PROFILE method=0 op=_SWAP_FAST count=944845
PROFILE method=0 op=_SWAP_FAST_1 count=240818
PROFILE method=0 op=_SWAP_FAST_2 count=1738899
PROFILE method=0 op=_SWAP_FAST_3 count=669867
PROFILE method=0 op=_SWAP_FAST_4 count=236672
PROFILE method=0 op=_SWAP_FAST_5 count=65653
PROFILE method=0 op=_SWAP_FAST_6 count=59192
PROFILE method=0 op=_TIER2_RESUME_CHECK count=1261008
PROFILE method=0 op=_TO_BOOL count=3343
PROFILE method=0 op=_TO_BOOL_INT count=299084
PROFILE method=1 op=_POP_ITER count=32441
PROFILE method=1 op=_POP_TOP count=15554016
PROFILE method=1 op=_PUSH_NULL count=15530
PROFILE method=1 op=_LOAD_COMMON_CONSTANT count=1076552
PROFILE method=1 op=_TO_BOOL_BOOL count=301195
PROFILE method=1 op=_SET_IP count=39756536
PROFILE method=1 op=_BINARY_OP count=665554
PROFILE method=1 op=_BINARY_OP_EXTEND count=15530
PROFILE method=1 op=_BINARY_OP_SUBSCR_LIST_INT count=963733
PROFILE method=1 op=_BINARY_OP_SUBTRACT_INT count=98784
PROFILE method=1 op=_CALL_BUILTIN_CLASS count=15530
PROFILE method=1 op=_CALL_LEN count=145935
PROFILE method=1 op=_CALL_LIST_APPEND count=33293
PROFILE method=1 op=_CALL_METHOD_DESCRIPTOR_FAST count=98784
PROFILE method=1 op=_CALL_METHOD_DESCRIPTOR_O count=98784
PROFILE method=1 op=_CALL_NON_PY_GENERAL count=15530
PROFILE method=1 op=_CHECK_FUNCTION_EXACT_ARGS count=174364
PROFILE method=1 op=_CHECK_FUNCTION_VERSION count=174364
PROFILE method=1 op=_CHECK_IS_NOT_PY_CALLABLE count=15530
PROFILE method=1 op=_CHECK_MANAGED_OBJECT_HAS_VALUES count=9676644
PROFILE method=1 op=_CHECK_PEP_523 count=174364
PROFILE method=1 op=_CHECK_PERIODIC count=150508
PROFILE method=1 op=_CHECK_RECURSION_LIMIT count=98784
PROFILE method=1 op=_CHECK_RECURSION_REMAINING count=174364
PROFILE method=1 op=_CHECK_STACK_SPACE count=174364
PROFILE method=1 op=_CHECK_VALIDITY count=40762028
PROFILE method=1 op=_COMPARE_OP_INT count=1875892
PROFILE method=1 op=_CONTAINS_OP_SET count=70677
PROFILE method=1 op=_COPY_1 count=665554
PROFILE method=1 op=_GUARD_BINARY_OP_EXTEND count=15530
PROFILE method=1 op=_GUARD_CALLABLE_BUILTIN_CLASS count=15530
PROFILE method=1 op=_GUARD_CALLABLE_LEN count=145935
PROFILE method=1 op=_GUARD_CALLABLE_LIST_APPEND count=33293
PROFILE method=1 op=_GUARD_CALLABLE_METHOD_DESCRIPTOR_FAST count=98784
PROFILE method=1 op=_GUARD_CALLABLE_METHOD_DESCRIPTOR_O count=98784
PROFILE method=1 op=_GUARD_DORV_NO_DICT count=745100
PROFILE method=1 op=_GUARD_GLOBALS_VERSION count=161465
PROFILE method=1 op=_GUARD_ITER_VIRTUAL count=200568
PROFILE method=1 op=_GUARD_NOS_INT count=1974676
PROFILE method=1 op=_GUARD_NOS_LIST count=1549595
PROFILE method=1 op=_GUARD_NOS_NOT_NULL count=33293
PROFILE method=1 op=_GUARD_NOS_NULL count=145935
PROFILE method=1 op=_GUARD_TOS_ANY_SET count=70677
PROFILE method=1 op=_GUARD_TOS_EXACT_INT count=15530
PROFILE method=1 op=_GUARD_TOS_INT count=3293410
PROFILE method=1 op=_GUARD_TOS_OVERFLOWED count=98784
PROFILE method=1 op=_GUARD_TYPE_VERSION count=9907505
PROFILE method=1 op=_GUARD_TYPE_VERSION_LOCKED count=745100
PROFILE method=1 op=_INIT_CALL_PY_EXACT_ARGS_1 count=25827
PROFILE method=1 op=_INIT_CALL_PY_EXACT_ARGS_2 count=148537
PROFILE method=1 op=_ITER_CHECK_LIST count=350225
PROFILE method=1 op=_ITER_NEXT_LIST_TIER_TWO count=317784
PROFILE method=1 op=_LOAD_ATTR_INSTANCE_VALUE count=8496788
PROFILE method=1 op=_LOAD_ATTR_METHOD_NO_DICT count=230861
PROFILE method=1 op=_LOAD_ATTR_METHOD_WITH_VALUES count=1179856
PROFILE method=1 op=_LOAD_ATTR_MODULE count=15530
PROFILE method=1 op=_LOAD_FAST_BORROW_0 count=5461236
PROFILE method=1 op=_LOAD_FAST_BORROW_1 count=3129774
PROFILE method=1 op=_LOAD_FAST_BORROW_2 count=4137760
PROFILE method=1 op=_LOAD_FAST_BORROW_3 count=181880
PROFILE method=1 op=_LOAD_GLOBAL_BUILTINS count=161465
PROFILE method=1 op=_LOAD_GLOBAL_MODULE count=602955
PROFILE method=1 op=_LOAD_SMALL_INT_1 count=98784
PROFILE method=1 op=_LOCK_OBJECT count=745100
PROFILE method=1 op=_MAKE_HEAP_SAFE count=1720433
PROFILE method=1 op=_MAKE_WARM count=2551561
PROFILE method=1 op=_METHOD_DEOPT count=1005492
PROFILE method=1 op=_METHOD_EXIT count=1546069
PROFILE method=1 op=_METHOD_ITER_JUMP_LIST count=350225
PROFILE method=1 op=_METHOD_JUMP count=2012082
PROFILE method=1 op=_METHOD_POP_JUMP_IF_FALSE count=1569180
PROFILE method=1 op=_METHOD_POP_JUMP_IF_TRUE count=623437
PROFILE method=1 op=_POP_TOP_INT count=5481184
PROFILE method=1 op=_POP_TOP_OPARG count=114314
PROFILE method=1 op=_PUSH_FRAME count=174364
PROFILE method=1 op=_PUSH_NULL_CONDITIONAL count=9276738
